epoch,train_gen_loss,train_disc_loss,train_gen_acc,val_gen_loss,val_disc_loss,val_gen_acc
1,"tf.Tensor(3.225493, shape=(), dtype=float32)","tf.Tensor(0.99466026, shape=(), dtype=float32)","tf.Tensor(0.33583334, shape=(), dtype=float32)","tf.Tensor(1.0658344, shape=(), dtype=float32)","tf.Tensor(1.3150961, shape=(), dtype=float32)","tf.Tensor(0.054583333, shape=(), dtype=float32)"
2,"tf.Tensor(2.8160844, shape=(), dtype=float32)","tf.Tensor(0.85455346, shape=(), dtype=float32)","tf.Tensor(0.22175732, shape=(), dtype=float32)","tf.Tensor(1.100615, shape=(), dtype=float32)","tf.Tensor(1.121234, shape=(), dtype=float32)","tf.Tensor(0.6020833, shape=(), dtype=float32)"
3,"tf.Tensor(2.5146832, shape=(), dtype=float32)","tf.Tensor(1.0465837, shape=(), dtype=float32)","tf.Tensor(0.29291666, shape=(), dtype=float32)","tf.Tensor(3.3429623, shape=(), dtype=float32)","tf.Tensor(1.484058, shape=(), dtype=float32)","tf.Tensor(0.46416667, shape=(), dtype=float32)"
4,"tf.Tensor(2.5176795, shape=(), dtype=float32)","tf.Tensor(1.0201155, shape=(), dtype=float32)","tf.Tensor(0.44166666, shape=(), dtype=float32)","tf.Tensor(3.357292, shape=(), dtype=float32)","tf.Tensor(0.8628294, shape=(), dtype=float32)","tf.Tensor(0.43833333, shape=(), dtype=float32)"
5,"tf.Tensor(2.2780604, shape=(), dtype=float32)","tf.Tensor(1.0015467, shape=(), dtype=float32)","tf.Tensor(0.28333333, shape=(), dtype=float32)","tf.Tensor(4.1583543, shape=(), dtype=float32)","tf.Tensor(1.0462574, shape=(), dtype=float32)","tf.Tensor(0.24, shape=(), dtype=float32)"
6,"tf.Tensor(2.0695913, shape=(), dtype=float32)","tf.Tensor(1.1038512, shape=(), dtype=float32)","tf.Tensor(0.28333333, shape=(), dtype=float32)","tf.Tensor(2.7016573, shape=(), dtype=float32)","tf.Tensor(1.1370846, shape=(), dtype=float32)","tf.Tensor(0.38, shape=(), dtype=float32)"
7,"tf.Tensor(1.9128311, shape=(), dtype=float32)","tf.Tensor(1.1864082, shape=(), dtype=float32)","tf.Tensor(0.33333334, shape=(), dtype=float32)","tf.Tensor(3.1040885, shape=(), dtype=float32)","tf.Tensor(1.1963118, shape=(), dtype=float32)","tf.Tensor(0.44583333, shape=(), dtype=float32)"
8,"tf.Tensor(1.7905626, shape=(), dtype=float32)","tf.Tensor(1.2460582, shape=(), dtype=float32)","tf.Tensor(0.39833334, shape=(), dtype=float32)","tf.Tensor(3.528015, shape=(), dtype=float32)","tf.Tensor(1.1780803, shape=(), dtype=float32)","tf.Tensor(0.5725, shape=(), dtype=float32)"
9,"tf.Tensor(1.7143598, shape=(), dtype=float32)","tf.Tensor(1.2956697, shape=(), dtype=float32)","tf.Tensor(0.46083334, shape=(), dtype=float32)","tf.Tensor(3.0848267, shape=(), dtype=float32)","tf.Tensor(1.5808071, shape=(), dtype=float32)","tf.Tensor(0.20333333, shape=(), dtype=float32)"
10,"tf.Tensor(1.6395606, shape=(), dtype=float32)","tf.Tensor(1.2946038, shape=(), dtype=float32)","tf.Tensor(0.5075, shape=(), dtype=float32)","tf.Tensor(2.8233325, shape=(), dtype=float32)","tf.Tensor(1.5034134, shape=(), dtype=float32)","tf.Tensor(0.34875, shape=(), dtype=float32)"
