epoch,train_gen_loss,val_gen_loss
1,5.81289,2.7630677
2,3.55552,2.0219913
3,1.9059899,1.1493237
4,2.0966582,0.59155554
5,1.9145453,0.5884494
6,1.790457,2.6110063
7,1.5762088,0.45200375
8,2.023749,1.4974643
9,1.549998,0.7256924
10,1.3657471,0.54275423
11,1.9549145,2.2356963
12,1.0771718,0.35987788
13,1.5641018,1.0606906
14,0.8953273,4.619802
15,0.8272084,3.0308716
16,0.43650764,1.557796
17,0.3504073,0.5469135
18,0.30775964,0.4074638
19,0.33212456,0.24070439
20,0.2769992,0.12382466
21,0.1967411,0.22172825
22,0.28017232,0.21933146
23,0.28567258,0.17112869
24,0.2561044,0.19625513
25,0.14045012,0.20946784
26,0.2198891,0.30568373
27,0.29945746,1.8165393
28,0.2429636,1.6500016
29,0.18544681,1.0249698
30,0.21191174,0.48663917
31,0.31715757,0.43361565
32,0.22836994,0.21434377
33,0.19624043,0.14920008
34,0.20155126,0.14362875
35,0.28552806,0.09221831
36,0.26738375,0.11931466
37,0.17835583,0.13508251
38,0.16283783,0.08260976
39,0.40998703,0.19517455
