epoch,train_gen_loss,train_disc_loss,train_gen_acc,val_gen_loss,val_disc_loss,val_gen_acc
1,5.191648,0.46192092,0.17916666,2.5315642,1.139001,0.26
2,4.23836,0.3523633,0.11333334,2.1308734,0.90745324,0.18865958
3,3.44467,0.28348368,0.08236111,1.7635683,0.73572695,0.14498194
4,3.0893328,0.24444333,0.06677084,1.4628487,0.5907738,0.117401734
5,2.8471053,0.24800849,0.062083334,1.2717348,0.6095143,0.10760761
6,2.6676745,0.25559577,0.06020833,1.1394366,0.5282891,0.092229635
7,2.5115714,0.2609884,0.059761904,1.0202888,0.47730905,0.08453977
8,2.4593096,0.24406698,0.054791667,1.0168991,0.5367557,0.08904181
9,2.3591678,0.23808853,0.05138889,0.94112504,0.54155535,0.094350986
10,2.2615905,0.25632855,0.053022094,0.87252855,0.55678546,0.10468802
11,2.2349389,0.2587327,0.051496778,0.8590423,0.55378234,0.101835005
12,2.1365707,0.2847326,0.056998957,0.8030105,0.56736165,0.10513329
13,2.0961866,0.29821876,0.059538312,0.8439102,0.5505847,0.10275906
