epoch,train_gen_loss,train_disc_loss,train_gen_acc,val_gen_loss,val_disc_loss,val_gen_acc
1,1.0890079,0.8310907,0.5314859,1.3482409,3.2619655,0.7083333
2,1.2246567,0.54901195,0.52221733,1.575259,4.702272,0.7291667
3,1.4358293,0.41839597,0.5158006,1.8778261,5.9965954,0.6805556
4,1.6225513,0.3546665,0.51238257,3.0774472,8.392955,0.6979167
5,1.8570457,0.2914607,0.5099228,3.6116014,9.808114,0.7416667
6,2.0805924,0.24950872,0.50822186,3.7249422,11.51848,0.7638889
7,2.2901895,0.21584821,0.5070383,3.7524214,13.4276705,0.7797619
8,2.66829,0.19084175,0.5061323,4.064682,15.532636,0.7916667
9,3.1828687,0.17807911,0.5054183,4.7922425,17.874495,0.7962963
10,3.5622237,0.16679521,0.5048723,4.999425,19.765171,0.8041667
