epoch,train_gen_loss,train_disc_loss,train_gen_acc,val_gen_loss,val_disc_loss,val_gen_acc
1,0.24418522,0.5805984,0.47197407,0.07850118,3.7794445,0.9289423
2,0.19835806,0.5181324,0.4737303,0.09401368,5.37842,0.95858973
3,0.18179663,0.45377272,0.47800633,0.10225884,6.9572215,0.96615386
4,0.17329589,0.406212,0.48111683,0.10392863,8.516564,0.9742468
5,0.1685228,0.3648819,0.48366466,0.10385363,10.00346,0.9793782
6,0.16573296,0.32927084,0.48562008,0.108073294,11.461496,0.98281515
7,0.16426311,0.29879436,0.48734334,0.11253542,12.689885,0.98524266
8,0.16365889,0.2732118,0.4886751,0.11815447,13.834898,0.98704726
9,0.16347694,0.251687,0.4897773,0.12332551,14.982653,0.9884829
10,0.16360483,0.23328255,0.4906643,0.1261565,15.966022,0.9896282
11,0.1639872,0.217697,0.4914034,0.1315452,16.91742,0.99056524
